pmid,year
15023979,2004
25212593,2014
26729566,2016
27080513,2016
27558278,2017
28486933,2017
28976959,2017
32775594,2020
32848209,2020
33916905,2021
33981854,2021
34441259,2021
35026418,2022
35048055,2021
36138140,2023
36985292,2023
37217495,2023
37655344,2023
37876206,2024
37894119,2023
39304484,2024
39527605,2024
15023979,2004
25212593,2014
26729566,2016
27080513,2016
27558278,2017
28486933,2017
28976959,2017
32775594,2020
32848209,2020
33916905,2021
33981854,2021
34441259,2021
35026418,2022
35048055,2021
36138140,2023
36985292,2023
37217495,2023
37655344,2023
37876206,2024
37894119,2023
39304484,2024
39527605,2024
