pmid,year
5454,1976
8432,1976
10063,1976
14828,1977
16900,1977
181263,1976
204628,1978
265518,1977
363159,1978
497233,1979
500561,1979
659388,1978
670934,1978
678024,1978
730757,1978
744388,1978
756954,1978
863927,1977
939271,1976
949494,1976
1250699,1976
1254553,1976
1366441,1990
1367186,1991
1367662,1991
1368580,1990
1368764,1991
1369011,1992
1369078,1992
1370377,1992
1374900,1992
1375992,1992
1381047,1992
1400194,1992
1408758,1992
1499561,1992
1508169,1992
1514786,1992
1548239,1992
1551596,1992
1586987,1992
1587476,1992
1594449,1992
1604315,1992
1624114,1992
1632514,1992
1693048,1990
1698384,1990
1699456,1990
1714296,1991
1736283,1992
1748086,1991
1764514,1991
1814047,1991
1851147,1991
1870973,1991
1871133,1991
1936939,1991
1939005,1991
1965009,1990
1988950,1991
1993750,1991
1995422,1991
2012681,1991
2022317,1991
2029902,1991
2057351,1991
2085185,1990
2087233,1990
2108962,1990
2155246,1990
2158473,1990
2162162,1990
2174730,1990
2175431,1990
2175751,1990
2182621,1990
2185236,1990
2196557,1990
2204576,1990
2207210,1990
2223065,1990
2286634,1990
2291473,1990
2300553,1990
2307682,1990
2318202,1990
2374708,1990
2390219,1990
2401296,1990
2448875,1988
2460556,1988
2460825,1988
2475423,1989
2478963,1989
2494446,1989
2530914,1989
2541153,1989
2594764,1989
2602126,1989
2620832,1989
2640157,1989
2644292,1989
2649500,1989
2653099,1989
2655672,1989
2712293,1989
2738898,1989
2748587,1989
2844735,1988
2847780,1988
2922055,1989
3020000,1986
3142792,1988
3162211,1988
3186449,1988
3198934,1988
3200828,1988
3240997,1988
3248728,1988
3286255,1988
3297846,1987
3348790,1988
3383846,1988
3806053,1986
3929688,1985
4019440,1985
4066716,1985
4147570,1973
4355914,1973
4568892,1973
4604362,1974
4631109,1972
4655428,1972
4684074,1973
4699989,1973
4706191,1973
4909656,1970
4984076,1970
5022173,1972
5122805,1971
5432016,1970
5469574,1970
5473907,1970
5551637,1971
5781580,1969
6087291,1984
6278447,1981
6360926,1983
6380688,1984
6383347,1984
6773768,1980
6780979,1980
6785727,1981
6847628,1983
6878035,1983
6989454,1980
6990969,1980
7024917,1981
7054151,1982
7115316,1982
7150670,1982
7347986,1981
7378495,1980
7408867,1980
7408868,1980
7408869,1980
7491491,1995
7495870,1995
7504813,1993
7518037,1994
7518481,1994
7527482,1995
7544973,1995
7549094,1995
7551039,1995
7568114,1995
7573958,1995
7590322,1995
7596836,1995
7602133,1995
7603992,1995
7637814,1995
7680125,1993
7685468,1993
7710285,1994
7764710,1994
7765282,1994
7765732,1994
7805830,1994
7832772,1995
7896728,1994
7903530,1993
7929298,1994
7971991,1994
7983376,1994
7989558,1994
8011596,1994
8045417,1994
8069622,1993
8113181,1994
8175727,1994
8246933,1993
8273860,1993
8323030,1993
8324500,1993
8420919,1993
8427638,1993
8455643,1993
8508140,1993
8508785,1993
8520113,1995
8539242,1995
8554327,1995
8587108,1995
8590676,1995
8595866,1996
8599679,1995
8610108,1996
8611563,1996
8617781,1996
8654970,1996
8674678,1996
8679935,1995
8717047,1996
8733236,1996
8790389,1996
8819983,1995
8880902,1996
8898912,1996
8917500,1996
8919796,1996
8932304,1996
8934898,1996
8939739,1996
8951376,1996
8953733,1996
8980119,1996
8990285,1997
9042362,1997
9056891,1997
9070839,1997
9090463,1997
9111024,1997
9116494,1997
9145532,1997
9148958,1997
9150869,1996
9163743,1997
9236279,1997
9246641,1997
9249063,1997
9258667,1997
9264032,1997
9295328,1997
9332368,1997
9336450,1997
9339888,1997
9362117,1997
9367851,1997
9396789,1997
9415442,1997
9418238,1997
9480430,1998
9490070,1998
9503586,1998
9514116,1997
9532805,1998
9605316,1998
9605541,1998
9605544,1998
9609712,1998
9611226,1998
9647666,1998
9655125,1998
9662461,1998
9685489,1998
9695947,1998
9735141,1998
9758794,1998
9765969,1998
9770525,1998
9783182,1998
9814434,1998
9856650,1998
9857206,1998
9874776,1999
9876292,1998
9882104,1998
9916318,1998
9918492,1998
9918724,1999
9931007,1999
9972264,1998
10026258,1999
10049841,1999
10066742,1999
10076001,1999
10089430,1999
10229580,1999
10339555,1999
10341077,1999
10346887,1999
10348901,1999
10368282,1999
10409700,1999
10438551,1999
10446366,1999
10462579,1996
10493796,1999
10499798,1999
10518940,1999
10637340,2000
10666459,2000
10666572,1999
10677288,2000
10683737,2000
10715211,2000
10744988,2000
10764785,2000
10769195,2000
10805772,2000
10811806,2000
10827184,2000
10862622,2000
10906120,2000
10906130,2000
10920256,2000
10924149,2000
10926510,2000
10933850,2000
10938287,2000
10982877,2000
11000271,2000
11005812,2000
11027666,2000
11054459,2000
11069916,2001
11072065,2000
11082203,2000
11084351,2000
11114902,2001
11173490,2001
11179891,2001
11237691,2001
11263979,2001
11266593,2001
11267831,2001
11278820,2001
11290327,2001
11346641,2001
11352580,2001
11369861,2001
11382365,2000
11418773,2001
11453459,2001
11464915,2000
11504891,2001
11531998,2001
11539573,1995
11554789,2001
11566135,2001
11600709,2001
11602569,2001
11606592,2002
11642444,2001
11731131,2001
11771276,2002
11801745,2002
11805086,2002
11827546,2002
11861078,2002
11904365,2002
11931761,2002
12009409,2002
12011423,2002
12016306,2002
12016307,2002
12025971,2002
12060740,2002
12095255,2002
12111745,2002
12368464,2002
12387728,2003
12401213,2002
12423352,2002
12466277,2003
12485593,2002
12496274,2003
12522214,2003
12579375,2003
12582174,2003
12621614,2003
12643710,2003
12652912,2002
12727285,2003
12730189,2003
12756230,2003
12767813,2003
12781461,2003
12786603,2003
12930955,2003
14500822,2003
14501130,2003
14519999,2003
14576300,2003
14621989,2003
14699122,2004
14712632,2003
14712637,2003
14718065,2004
14746272,2003
14997517,2004
14997557,2004
15195968,2004
15247286,2004
15247491,2004
15299371,1994
15299524,1993
15299782,1995
15345530,2004
15476405,2004
15516599,2004
15546976,2004
15561997,2004
15642260,2005
15706592,2005
15731103,2005
15797821,2005
15799787,2005
15854126,2005
15864324,2005
15894131,2005
16005894,2005
16047360,2005
16080702,2006
16154587,2005
16204493,2005
16214425,2006
16257965,2006
16293313,2005
16306270,2005
16336181,2005
16337964,2006
16347714,1988
16348594,1991
16618493,2006
16675012,2006
16798040,2006
16802171,2006
16838276,2006
16859707,2006
16876990,2007
16896528,2006
16951290,2006
16959569,2006
16982200,2007
17024291,2006
17057346,2006
17061510,2007
17148487,2006
17169970,2007
17183508,2007
17184999,2007
17207499,2007
17269682,2008
17279590,2007
17325748,2007
17328911,2007
17368400,2007
17535803,2007
17565180,2007
17590954,2002
17606462,2007
17632524,2007
17674810,2007
17800906,1988
18019339,2007
18065449,2008
18216068,2008
18318711,2008
18369982,2008
18392610,2008
18485070,2008
18574242,2008
18623530,1995
18685213,2008
18831965,2008
18847263,2008
18952180,2009
19074503,2009
19233950,2009
