pmid,year
1462720,1992
1462726,1992
1771988,1991
2223596,1990
2223597,1990
2289018,1990
2469532,1989
3094220,1986
3453263,1987
3453276,1987
3539989,1987
3540903,1987
3607652,1987
3882564,1985
6361216,1983
6382831,1984
7711771,1995
7728631,1994
7889459,1994
8004534,1994
8004535,1994
8004536,1994
8017031,1994
8168914,1994
8240947,1993
8452363,1993
8473564,1993
8728755,1996
10676147,1999
10727834,2000
10729037,1999
10989224,2000
11051323,2000
11543853,2001
12418530,2002
16566254,2006
16616531,2007
16725853,1983
16725880,1984
16726542,1988
16727333,1993
17084565,2007
17422489,1985
17423329,1989
17423929,1992
19261638,2009
19319656,2009
19897874,2009
20236540,2010
21601382,2011
21908306,2011
22032232,2011
22731950,2012
23438461,2013
23585284,2013
23993254,2013
24571302,2013
24817480,2014
25299837,2014
25883297,2015
26871498,2016
27603136,2016
27915439,2017
28070089,2017
28876387,2018
28964561,2019
29153035,2018
29191491,2018
29236848,2018
29302101,2018
29665869,2018
30050519,2018
30532293,2018
31018106,2019
31131738,2019
31729698,2020
32456681,2020
33028315,2020
33132613,2020
33386175,2021
33681318,2021
34049660,2021
34078202,2021
34431870,2021
34617862,2022
34641885,2021
35630474,2022
36933182,2023
37005356,2023
37095057,2023
39462362,2024
1462720,1992
1462726,1992
1771988,1991
2223596,1990
2223597,1990
2289018,1990
2469532,1989
3094220,1986
3453263,1987
3453276,1987
3539989,1987
3540903,1987
3607652,1987
3882564,1985
6361216,1983
6382831,1984
7711771,1995
7728631,1994
7889459,1994
8004534,1994
8004535,1994
8004536,1994
8017031,1994
8168914,1994
8240947,1993
8452363,1993
8473564,1993
8728755,1996
10676147,1999
10727834,2000
10729037,1999
10989224,2000
11051323,2000
11543853,2001
12418530,2002
16566254,2006
16616531,2007
16725853,1983
16725880,1984
16726542,1988
16727333,1993
17084565,2007
17422489,1985
17423329,1989
17423929,1992
17890023,2008
19261638,2009
19319656,2009
19897874,2009
20236540,2010
21601382,2011
21908306,2011
22032232,2011
22731950,2012
23438461,2013
23585284,2013
23993254,2013
24571302,2013
24817480,2014
25299837,2014
25883297,2015
26871498,2016
27603136,2016
27915439,2017
28070089,2017
28876387,2018
28964561,2019
29153035,2018
29191491,2018
29236848,2018
29302101,2018
29665869,2018
30050519,2018
30468334,2018
30532293,2018
31018106,2019
31131738,2019
31729698,2020
32456681,2020
33028315,2020
33132613,2020
33386175,2021
33681318,2021
34049660,2021
34078202,2021
34431870,2021
34617862,2022
34641885,2021
35630474,2022
36933182,2023
37005356,2023
37095057,2023
39462362,2024
