pmid,year
521481,1979
1327789,1992
1433905,1992
1472713,1992
1494227,1992
1906261,1991
1960855,1991
2019681,1991
2041155,1991
2086814,1990
2113792,1990
2127928,1990
2253497,1990
2259834,1991
2287060,1990
2345135,1990
2416153,1985
2504597,1989
2506028,1989
2570791,1989
2584173,1989
2663406,1989
2785904,1989
3034144,1987
3087274,1986
3088346,1986
3129392,1988
3142012,1988
3182417,1988
3197461,1988
3210297,1988
3263350,1988
3264132,1988
3277997,1988
3300528,1987
3310868,1987
3324173,1987
3325434,1987
3327965,1987
3328641,1987
3496845,1987
3524498,1986
3529797,1986
3569007,1986
3623698,1987
3632601,1987
3890729,1985
3909335,1986
6219865,1983
6291454,1982
6333207,1984
6472199,1984
6490860,1984
6874899,1983
7328007,1981
7562008,1995
7729888,1995
7795527,1995
7811097,1994
7844396,1995
7867311,1994
7872757,1994
7940580,1994
8051793,1994
8077990,1994
8106899,1993
8109948,1993
8111828,1994
8150976,1994
8243035,1994
8254900,1993
8360983,1993
8494373,1993
8502572,1993
8515560,1993
8786624,1996
8878588,1996
8941426,1996
8961557,1996
9493467,1997
9763741,1999
9832268,1998
9839568,1998
10072775,1999
10103240,1999
10418178,1999
10428940,1999
10449462,1999
10465127,1999
10548042,1999
10835229,2000
10859431,2000
11030433,2000
11055901,2000
11126551,2000
11157923,2001
11178731,2001
11337221,2001
11417826,2002
11418511,2001
11482772,2001
11934304,2002
12052092,2002
12088382,2002
12193633,2002
12564525,2002
12568332,2002
12702330,2002
12796820,2003
12797879,2001
12901421,2003
14504433,2003
14992855,2004
15128530,2004
15134888,2004
15332708,2004
15528723,2004
15732602,2004
15985073,2005
16139515,2006
16192438,2005
16192440,2005
16259000,2006
16369735,2005
16514040,2006
16797710,2006
17220406,2007
17634003,2007
18281117,2008
18315877,2008
18683661,2008
18719184,2008
19284388,2009
19295652,2009
19368267,2009
19556373,2009
19739000,2009
19999986,2009
20066029,2010
20333440,2010
20496582,2010
20573620,2010
20709916,2011
20883132,2010
21459904,2011
21917010,2011
21936667,2011
21986831,2012
22683240,2012
22748116,2012
22754063,2011
22808174,2012
22915136,2013
22926370,2012
22958880,2012
23183210,2012
23439291,2013
23587958,2013
23811573,2013
24204801,2013
24275114,2014
24458876,2014
24484534,2014
24504382,2014
24599977,2014
24655914,2014
25002979,2014
25128344,2014
25170941,2014
25174508,2015
25210072,2014
25288087,2014
25315769,2015
25320434,2014
25583719,2015
25644211,2015
25764027,2015
26061151,2015
26061412,2015
26130312,2018
26198414,2016
26417357,2015
