pmid,year
80966,1978
92904,1979
185196,1976
189648,1977
218444,1979
251364,1978
392450,1979
523310,1979
533492,1979
562649,1977
593808,1977
642222,1978
911076,1977
958865,1976
958866,1976
1061131,1976
1119451,1975
1171458,1975
2203817,1990
2810750,1989
3026298,1986
3172461,1988
3613082,1987
4415108,1974
4733864,1973
4857335,1974
4932520,1971
5577376,1971
5691241,1968
6451730,1980
7115226,1982
7197147,1981
7348103,1981
7407539,1980
7460570,1980
7478813,1995
8020748,1994
8759008,1996
9321671,1997
11440228,2001
13069455,1953
16887682,2003
22336150,2012
24146483,2013
24883195,2014
29559113,2018
35192147,2022
38115299,2023
38302964,2024
38575895,2024
38760693,2024
80966,1978
92904,1979
185196,1976
189648,1977
218444,1979
251364,1978
392450,1979
523310,1979
533492,1979
562649,1977
593808,1977
642222,1978
849102,1977
911076,1977
958865,1976
958866,1976
1061131,1976
1119451,1975
1171458,1975
2203817,1990
2810750,1989
3026298,1986
3172461,1988
3613082,1987
4415108,1974
4733864,1973
4857335,1974
4932520,1971
5577376,1971
5691241,1968
6451730,1980
7115226,1982
7197147,1981
7348103,1981
7407539,1980
7455353,1980
7460570,1980
7478813,1995
8020748,1994
8759008,1996
9321671,1997
11440228,2001
13069455,1953
16887682,2003
22336150,2012
24146483,2013
24883195,2014
29559113,2018
35192147,2022
38115299,2023
38302964,2024
38575895,2024
38760693,2024
