pmid,year
1358877,1992
1753117,1991
1774255,1991
1785919,1991
1821778,1991
1907475,1991
1909546,1991
1960106,1991
2397159,1990
2723037,1989
3139056,1988
4004222,1985
4333320,1971
6311098,1983
6706886,1984
7476555,1995
7592140,1995
7615417,1995
7703025,1994
7759379,1995
7873525,1995
7901215,1993
7904596,1994
7937852,1994
8012591,1994
8085814,1994
8157610,1994
8170738,1994
8200866,1994
8288496,1993
8347427,1993
8444642,1993
8486547,1993
8559070,1995
8567490,1995
8579981,1995
8722186,1996
8980961,1996
8987531,1996
8996856,1996
9131790,1996
9175562,1997
9228758,1997
9228759,1997
9246779,1997
9354391,1997
9406407,1997
9562879,1998
9615484,1998
9713580,1998
9767713,1998
9826013,1998
10028620,1999
10063620,1999
10100902,1999
10388681,1999
10574086,1999
10686129,2000
10698775,2000
10735253,2000
10736005,2000
10930081,2000
10986669,2000
11073918,2000
11229892,2001
11234378,2001
11252505,2001
11283035,2001
11375166,2001
11379284,2001
11384041,2001
11530675,2002
11851806,2001
11883675,2002
11999121,2002
12147077,2002
12351242,2002
12382689,2002
12423921,2003
12514019,2003
12514026,2003
12568574,2003
12594034,2003
12631191,2003
12745235,2003
12781948,2003
12781949,2003
14028239,1962
14028240,1962
14047229,1963
14047230,1963
14051811,1963
14066495,1963
14620909,2003
14870930,2003
14995112,2004
15066778,2004
15066807,2004
15190953,2004
15252717,2004
15508649,2004
15527916,2004
15613003,2005
15836738,2005
15925418,2006
15941626,2005
15949857,2005
15954712,2005
16019271,2005
16054305,2005
16055218,2005
16055221,2005
16118236,2005
16205920,2006
16278028,2006
16332762,2005
16346868,1985
16346954,1985
16346958,1986
16348551,1991
16449434,2006
16467990,2006
16535180,1995
16535280,1996
16553737,2006
16562063,1965
16620203,2006
16649578,2006
16672446,2006
16715824,2006
16719505,2006
16723015,2006
16735728,2006
16834599,2006
16872815,2007
16876896,2006
16884803,2006
16943098,2007
16960076,2006
16983476,2006
17049799,2007
17177514,2006
17241343,2007
17418310,2007
17426542,2007
17650194,2007
17686628,2008
17897218,2007
17921264,2007
17927755,2008
17953562,2007
17976175,2008
17993526,2008
17995686,2007
18026225,2007
18036695,2008
18155310,2008
18223110,2008
18377919,2008
18389690,2008
18456108,2008
18540969,2008
18650274,2008
18691534,2008
18710789,2008
18721684,2008
18838186,2008
19027788,2009
19060081,2008
19081155,2009
19088320,2009
19099460,2009
19104922,2009
19120666,2008
19146533,2008
19164681,2009
19171253,2009
19219988,2009
19233810,2009
19244148,2009
19251932,2009
19358262,2009
19406783,2009
19446352,2009
19481282,2009
19486417,2009
19488750,2009
19669730,2009
19703719,2009
19762819,2009
19762869,2009
19783060,2009
19833402,2009
19895650,2010
20012957,2010
20074643,2010
20139622,2010
20167386,2010
20172231,2010
20227607,2010
20333439,2010
20338439,2010
20354993,2010
20416663,2009
20416703,2009
20444595,2010
20501043,2010
20537273,2010
20556655,2010
20578762,2010
20581179,2010
20630317,2010
20655446,2010
20688231,2010
20696534,2010
20832683,2010
21067675,2010
21071868,2010
21146240,2011
21177044,2011
21262359,2011
21295882,2011
21300508,2011
21329996,2011
21338815,2011
21356457,2011
21420794,2011
21468911,2011
21549056,2011
21569932,2011
21575111,2011
21787933,2011
21806613,2011
21819651,2011
21831762,2010
21831790,2011
21839380,2011
21840803,2010
21897039,2011
21943677,2012
21952940,2012
21959704,2011
22059658,1994
22059662,1994
22060168,1995
22060169,1995
22060170,1995
22060621,1998
22060908,2000
22061260,2007
22061519,2004
22061650,1991
22061810,2004
22061822,2004
22061849,1997
22061889,2006
22062067,2006
22062105,2001
22062781,2001
22063199,1999
22063339,2008
22063710,2000
22063864,2008
22063950,2004
22064148,2004
22123251,2012
22150390,2012
22177712,2012
22186059,2011
22261519,2012
22275308,2012
22282632,2011
22313683,2012
22339693,2012
22363472,2012
22365225,2012
22484960,2012
22491987,2012
22515692,2012
22558538,2011
22594449,2012
22608231,2012
22612969,2012
22644346,2012
22693830,2012
22695175,2012
22815579,2010
22843596,2012
22897881,2012
22916497,2012
22916933,2012
22926033,2013
22986210,2012
23076361,2013
23100653,2007
23122508,2013
23141639,2012
23194733,1983
23239414,2013
23241976,2013
23314366,2013
23347637,2013
23444039,2013
23500611,2013
23572623,2010
23572685,2010
23576016,2013
23611355,2013
23639072,2013
