pmid,year
1240211,1975
2682956,1989
3246585,1988
4114840,1972
4546195,1973
8321150,1993
8406804,1993
8863409,1996
8863416,1996
9243047,1997
9336893,1997
9455525,1998
9511816,1997
10555362,1999
11220682,2000
12008924,2002
12653131,2001
12986374,1952
12988058,1952
13230801,1954
13653844,1958
13897519,1961
14031545,1961
14575974,2003
14826798,1951
14904548,2004
15272195,2004
16625051,2006
16782384,2006
17054065,2006
18021022,2007
18083325,2008
18454593,2008
18787695,2008
19489922,2009
20456459,2011
20463158,2010
20587177,2010
21216104,2011
22679518,2012
22740657,2012
23390560,2013
23469636,2012
23926141,2013
24292191,2013
24686059,2014
25075973,2014
25685942,2014
26416117,2015
26598566,2016
26618151,2015
27031729,2016
28736193,2017
31793856,2020
32244625,2020
34536770,2021
35336101,2022
36223678,2022
36743301,2023
38252532,2024
39038047,2024
1240211,1975
2682956,1989
3246585,1988
4114840,1972
4546195,1973
8321150,1993
8406804,1993
8863409,1996
8863416,1996
9243047,1997
9336893,1997
9455525,1998
9511816,1997
10555362,1999
11220682,2000
12008924,2002
12653131,2001
12986374,1952
12988058,1952
13230801,1954
13653844,1958
13897519,1961
14031545,1961
14575974,2003
14826798,1951
14904548,2004
15272195,2004
16625051,2006
16782384,2006
17054065,2006
18021022,2007
18083325,2008
18454593,2008
18787695,2008
19489922,2009
20456459,2011
20463158,2010
20587177,2010
21216104,2011
22679518,2012
22740657,2012
23390560,2013
23469636,2012
23926141,2013
24292191,2013
24686059,2014
25075973,2014
25685942,2014
26416117,2015
26598566,2016
26618151,2015
27031729,2016
28736193,2017
31793856,2020
32244625,2020
34536770,2021
35336101,2022
36223678,2022
36743301,2023
38252532,2024
39038047,2024
