pmid,year
1768147,1991
2268167,1990
2338154,1990
3368324,1988
10753597,2000
11472951,2001
12174042,2002
12656180,2003
12656189,2003
14608388,2003
15143042,2004
15312716,2004
15501799,2004
17913530,2008
18083865,2008
18337136,2008
18456850,2008
18599703,2008
19135097,2009
19149375,2008
19246096,2009
19389767,2009
19456319,2009
19694172,2009
19837838,2009
21677855,2011
21839393,2011
21854089,2011
21930677,2012
23685397,2013
24147969,2014
24212573,2014
24498982,2014
24815818,2014
24973516,2014
25252078,2014
25344234,2015
25523763,2014
25523764,2014
25555343,2015
25555738,2015
25701736,2015
26193772,2015
26654527,2016
26728027,2016
27469949,2016
27538951,2016
27703450,2016
28093770,2017
28919890,2017
29516148,2018
30506798,2019
31187734,2019
32459960,2020
33674441,2021
33899623,2021
33907814,2021
35977641,2022
1768147,1991
2268167,1990
2338154,1990
3368324,1988
10753597,2000
11472951,2001
12174042,2002
12656180,2003
12656189,2003
14608388,2003
15143042,2004
15312716,2004
15501799,2004
17913530,2008
18083865,2008
18337136,2008
18456850,2008
18599703,2008
19135097,2009
19149375,2008
19246096,2009
19389767,2009
19456319,2009
19694172,2009
19837838,2009
21677855,2011
21839393,2011
21854089,2011
21930677,2012
23685397,2013
24147969,2014
24212573,2014
24498982,2014
24815818,2014
24973516,2014
25252078,2014
25344234,2015
25523763,2014
25523764,2014
25555343,2015
25555738,2015
25701736,2015
26193772,2015
26654527,2016
26728027,2016
27469949,2016
27538951,2016
27703450,2016
28093770,2017
28919890,2017
29516148,2018
30506798,2019
31187734,2019
32459960,2020
33674441,2021
33899623,2021
33907814,2021
35977641,2022
