pmid,year
94953,1979
721774,1978
2007549,1991
2408888,1985
2504766,1989
2708319,1989
2974756,1988
3264065,1988
3745114,1986
6426766,1984
6693353,1984
6766700,1980
6787011,1981
7061396,1982
7557289,1995
12113929,2002
12719266,2003
17371322,2007
18048733,2007
18175708,2008
23504021,2013
28109204,2017
94953,1979
721774,1978
2007549,1991
2408888,1985
2504766,1989
2708319,1989
2974756,1988
3264065,1988
3745114,1986
6426766,1984
6693353,1984
6766700,1980
6787011,1981
7061396,1982
7557289,1995
12113929,2002
12719266,2003
17371322,2007
18048733,2007
18175708,2008
22840334,2012
23504021,2013
28109204,2017
