pmid,year
641525,1978
1385780,1992
1571172,1992
1706732,1991
1995030,1991
2370231,1990
2687313,1989
2775349,1989
2803754,1989
3213315,1988
3565014,1986
3936335,1985
4088406,1985
4089343,1985
6086584,1984
6565709,1984
6789609,1981
6874624,1983
7124404,1982
7173185,1982
7424234,1980
7768782,1995
7890376,1995
7935060,1994
7938001,1994
8042273,1994
8068539,1994
8681979,1995
8690885,1996
8806995,1996
8816597,1996
9023202,1997
9171409,1997
9209049,1997
9661953,1998
9793849,1998
10175151,1997
10217971,1999
10425778,1999
10455099,1999
10471564,1999
10589914,1999
10843049,2000
10968640,2000
11107206,2000
11417826,2002
11518337,2001
11552069,2001
11561567,1999
12089273,2002
12169893,2002
12238371,2002
12410712,2002
12700009,2003
12898065,2003
15381974,2004
15501749,2004
15541798,2004
15629919,2005
15715714,2005
16085441,2005
16598472,2006
16780553,2006
16804442,2006
16965378,2006
17126372,2007
17475456,2009
17625191,2007
17805342,2007
17887985,2008
17893164,2007
17893169,2007
17893172,2007
18065673,2008
18596138,2008
18790338,2009
18807142,2008
18977613,2009
19426919,2009
19484239,2010
19572866,2009
19663592,2009
19729456,2010
19802475,2010
19803088,2009
19896248,2010
19930163,2009
20058088,2011
20132252,2011
20525989,2010
20528174,2010
20555421,2010
20598860,2010
20813851,2010
20858687,2010
20963723,2010
20963727,2010
21164574,2010
21359622,2011
21411150,2012
21920817,2012
21978659,2011
22061941,2007
22348102,2012
22428747,2012
22468090,2012
22591797,2012
22685668,2012
22830638,2012
22843597,2012
22899781,2012
23052315,2013
23072691,2012
23414707,2013
23425780,2013
23428762,2012
23429561,2013
23449871,2013
23548256,2011
23558135,2013
23608105,2013
23887612,2014
23896085,2013
24002789,2014
24022640,2014
24025671,2014
24060879,2013
24066512,2013
24889094,2014
25060224,2013
25131294,2014
25197487,2014
25218891,2014
25277436,2014
25326704,2014
25381168,2015
25390609,2008
25420718,2014
25477024,2015
25649186,2014
25813821,2015
25888130,2015
25976604,2015
26203181,2015
26248114,2016
26251481,2015
26404028,2016
26441910,2015
26581090,2015
26840519,2016
26845141,2016
26971182,2016
27000656,2016
27002262,2016
27281990,2016
27284154,2016
27309482,2016
27375578,2016
27424947,2016
27555916,2016
27680718,2017
27865985,2017
27902368,2016
27999045,2017
28018320,2016
28088766,2017
28153968,2017
28156000,2017
28221122,2017
28283006,2017
28330709,2017
28373147,2017
28456402,2017
28461023,2017
28527793,2017
28631328,2017
28874737,2017
28927452,2017
28929959,2017
29157953,2018
29279472,2018
29369234,2018
29407274,2018
29521121,2018
29684012,2018
29695923,2018
29880073,2018
29882122,2018
29985866,2018
29997036,2018
30068554,2018
30099486,2018
30115980,2018
30150477,2018
30182141,2018
30193229,2018
30409159,2018
30417993,2018
30523630,2019
30533344,2018
30544442,2018
30548758,2019
30617095,2019
30706301,2019
30710249,2020
30755843,2019
30915059,2019
30928561,2019
30962919,2019
31044070,2019
