pmid,year
2587,1975
7091,1976
13920,1977
14131,1977
18200,1977
24083,1978
29546,1978
49172,1975
56767,1976
109401,1979
109402,1979
123919,1975
125754,1975
127086,1975
135258,1976
140685,1977
144135,1977
153436,1978
154517,1979
156832,1979
157157,1979
157159,1979
159818,1979
166977,1975
171542,1975
176114,1975
178313,1976
196159,1976
196160,1976
197885,1977
207206,1978
220917,1979
226469,1979
234463,1975
234747,1975
235315,1975
236299,1975
242189,1975
263821,1977
341656,1977
351339,1978
372534,1979
378992,1979
385063,1979
403839,1977
408036,1977
444450,1979
484936,1979
500558,1979
507841,1979
539691,1980
623497,1978
625303,1978
631247,1978
632259,1978
649420,1978
666218,1978
671458,1978
677895,1978
689571,1978
703651,1978
718994,1978
720589,1978
722738,1978
736936,1978
779553,1976
788798,1976
808686,1975
817628,1976
817666,1976
818881,1975
921249,1977
922015,1977
953052,1976
955666,1976
963613,1976
1104423,1975
1121296,1975
1121297,1975
1125026,1975
1128272,1975
1129380,1975
1140310,1975
1159851,1975
1177288,1975
1221033,1975
1230056,1976
1230719,1975
1245185,1976
1248781,1976
1261559,1976
1261561,1976
1262332,1976
1319278,1992
1324887,1992
1325943,1992
1352787,1992
1510315,1992
1520443,1992
1551978,1992
1663748,1992
1689718,1990
1730501,1992
1813779,1991
1834198,1991
1848527,1991
2037372,1991
2281604,1990
2417958,1986
2427627,1986
2452272,1988
2479599,1989
2512004,1989
2514339,1989
2555299,1989
2569461,1989
2663726,1989
2714297,1989
2810265,1989
2902854,1988
2946115,1986
2966501,1988
3002853,1986
3084791,1986
3122636,1988
3183614,1988
3240562,1988
3242686,1988
3296062,1987
3448153,1987
3615557,1987
3619192,1987
3655742,1987
3722123,1986
3741386,1986
3819446,1987
3897405,1985
4064625,1985
4064797,1985
4097568,1970
4101357,1971
4113117,1972
4119672,1972
4122828,1971
4132910,1974
4136216,1974
4147495,1973
4148376,1973
4158502,1965
4160453,1966
4168405,1967
4187018,1969
4189893,1969
4197659,1972
4198569,1973
4253716,1969
4285847,1966
4287523,1965
4291069,1967
4291656,1967
4293760,1967
4295929,1968
4297467,1968
4297733,1968
4303095,1969
4304303,1969
4304858,1969
4310220,1969
4310547,1969
4313604,1970
4318778,1970
4319456,1970
4319674,1967
4320074,1970
4323640,1970
4323770,1971
4327443,1971
4332727,1971
4332729,1971
4333316,1971
4334137,1971
4334844,1972
4334978,1972
4337270,1971
4344992,1972
4349862,1973
4350062,1973
4356463,1973
4356985,1973
4364528,1974
4370899,1974
4378502,1964
4392117,1970
4412068,1974
4415399,1974
4425314,1974
4430476,1974
4430684,1974
4433717,1974
4447807,1974
4447810,1974
4462736,1974
4515612,1973
4540257,1973
4555268,1972
4565052,1972
4576356,1973
4586935,1974
4628031,1972
4631532,1972
4640196,1972
4643938,1973
4689774,1973
4698221,1973
4725042,1973
4743516,1973
4771752,1973
4783219,1973
4826538,1974
4828527,1974
4838683,1974
4855991,1974
4859500,1974
4890766,1969
4907407,1970
4924114,1970
4949952,1971
4957222,1966
4957713,1966
4959617,1967
4960415,1966
4961801,1967
4966790,1968
4968183,1968
4977960,1969
4979099,1968
4995846,1971
4998716,1971
5003720,1971
5029940,1972
