pmid,year
17158982,2006
18711340,2008
19332812,2009
19924155,2010
20132276,2010
21335496,2012
21622745,2011
21764938,2011
23475964,2013
23765891,2009
23904993,2013
25050523,2015
27784949,2016
29117591,2018
29997591,2018
30048866,2018
30818236,2019
31337718,2019
32176600,2020
38628864,2024
17158982,2006
18711340,2008
19332812,2009
19924155,2010
20132276,2010
21335496,2012
21622745,2011
21764938,2011
23475964,2013
23765891,2009
23904993,2013
25050523,2015
27784949,2016
29117591,2018
29997591,2018
30048866,2018
30818236,2019
31337718,2019
32176600,2020
38628864,2024
