pmid,year
168173,1975
241229,1975
1622270,1992
3170345,1988
3182399,1988
3182400,1988
3255305,1988
3565090,1986
3624074,1987
3693116,1987
5313615,1971
6470674,1984
6650231,1983
7631504,1995
7765099,1994
11252677,2000
12822997,2003
13512277,1957
13608327,1958
14440840,1959
15372657,2004
15453748,2004
15754385,2005
16795121,2006
18655076,2008
19093525,2007
21439483,2011
23790494,2013
24376894,2013
26323308,2015
27092219,2016
29512633,2019
31261802,2019
33870857,2022
35008493,2021
36149504,2022
37569288,2023
168173,1975
241229,1975
1622270,1992
3170345,1988
3182399,1988
3182400,1988
3255305,1988
3565090,1986
3624074,1987
3693116,1987
5313615,1971
6470674,1984
6650231,1983
7631504,1995
7765099,1994
11252677,2000
12822997,2003
13512277,1957
13608327,1958
14440840,1959
15372657,2004
15453748,2004
15754385,2005
16795121,2006
18655076,2008
19093525,2007
21439483,2011
23790494,2013
24376894,2013
26323308,2015
27092219,2016
29512633,2019
31261802,2019
33870857,2022
35008493,2021
36149504,2022
37569288,2023
