pmid,year
1366361,1990
1366973,1990
1390281,1992
1444407,1992
1444408,1992
1444717,1992
1460569,1992
1512708,1992
1527706,1992
1527710,1992
1567784,1992
1575473,1992
1597190,1992
1866607,1991
2215288,1990
2244792,1990
2351952,1990
2828318,1988
3042799,1988
3160586,1985
3422704,1988
3508931,1989
3702779,1986
3822809,1987
6758705,1982
7574595,1995
7579998,1995
7607322,1995
7642533,1995
7646049,1995
7751292,1995
7764017,1993
7764739,1994
7813460,1994
7836301,1995
7857805,1995
7867918,1995
8000863,1994
8161179,1994
8385013,1993
8655547,1996
8905091,1996
8932295,1996
8969521,1996
8987500,1997
8990288,1997
8991593,1997
9000518,1997
9020064,1997
9034312,1997
9143122,1997
9210347,1997
9226278,1997
9226927,1997
9251216,1997
9254018,1997
9261999,1997
9352658,1997
9353918,1997
9371464,1997
9472317,1997
9514743,1998
9579069,1998
9603855,1998
9647833,1998
9674130,1998
9677336,1998
9726870,1998
9738933,1998
9748436,1998
9827564,1998
9868784,1998
9973345,1999
10068789,1999
10068795,1999
10101840,1999
10224006,1999
10390842,1999
10422226,1999
10473585,1999
10493599,1999
10526986,1998
10543810,1999
10565547,1999
10567215,1999
10582377,1999
10586501,1999
10616714,1999
10616720,1999
10633112,2000
10652097,2000
10698749,2000
10769172,2000
10776634,2000
10784035,2000
10788377,2000
10817820,2000
10832640,2000
10856644,2000
10867943,2000
10924225,2000
11004391,2000
11105249,2000
11131025,2000
11153941,2000
11157238,2001
11214801,2000
11229891,2001
11229908,2001
11297361,2001
11302154,2001
11302162,2001
11341322,2001
11357423,2001
11450453,2001
11508844,2001
11518330,2001
11595177,2001
11748240,2002
11750802,2001
11751829,2002
11759050,2001
11764149,2001
11785132,2002
11786260,2002
11822837,2001
11822905,2003
11823208,2002
11876421,2002
11914155,2002
11962208,2002
11963851,2001
11988527,2002
11995825,2001
12021809,2002
12024812,2002
12024813,2002
12030852,2002
12052678,2002
12054234,2002
12067522,2002
12073133,2002
12080423,2002
12089004,2002
12111164,2002
12147352,2002
12172630,2002
12180920,2002
