pmid,year
40952,1979
464732,1979
596994,1977
659361,1978
1534543,1992
1575495,1992
1837273,1991
1846142,1991
2158923,1990
2507527,1989
2513188,1989
2855585,1988
3145712,1988
3350008,1988
3389815,1988
3579266,1987
6309745,1983
6312988,1983
6393895,1984
6411684,1983
6608524,1984
6769417,1980
6783002,1981
6807954,1982
6881964,1983
7298577,1981
7748890,1995
7765371,1994
7988711,1994
7988892,1994
8033902,1994
9119076,1997
9294241,1997
9371472,1997
9742948,1998
10403370,1999
10508086,1999
10567365,1999
10913149,2000
11133459,2001
11248193,2001
11542159,1989
11798023,2002
11823254,2002
11889102,2002
12138753,2002
12206908,2002
12555560,1999
12570995,2003
16346452,1984
16347961,1989
16347978,1989
16349209,1994
16535097,1995
16691483,2005
17337553,2007
17416687,2007
17555523,2007
17873051,2007
18083050,2008
18355313,2008
18378592,2008
19167341,2009
19222539,2009
20096574,2010
20616070,2010
20830677,2011
20921383,2010
21131487,2011
21173152,2011
21378039,2011
22423990,2012
22479398,2012
22810230,2012
23054076,2013
23259483,2012
23275504,2013
23315745,2013
23479729,2013
23727797,2013
24045950,2013
24337298,2013
24637370,2014
24657755,2014
24762045,2015
24917861,2014
25381992,2014
25384483,2015
25523312,2014
25733614,2015
25820826,2015
25838297,2015
25934628,2015
26092462,2015
26239230,2015
26350967,2015
26472176,2016
26613566,2016
26692897,2015
26787767,2016
26793417,2016
26971669,2016
27059835,2016
27107467,2016
27208103,2016
27801903,2017
28648471,2017
29593673,2018
29619089,2018
29709841,2018
29721040,2018
29914657,2018
30003650,2018
30126940,2018
30136352,2018
30151056,2018
30221442,2018
30242008,2018
30267586,2019
30465914,2019
30760264,2019
30791207,2019
30949135,2019
31257058,2019
31427571,2019
31573151,2019
31715654,2020
31807888,2020
32082286,2020
32140177,2020
32203116,2020
32423799,2020
32663477,2020
32934112,2020
32959527,2020
33178174,2020
33277268,2021
33283462,2021
33342435,2020
33360948,2021
33567655,2021
33633701,2021
33817956,2021
33894339,2021
33912549,2021
33989450,2021
34313456,2021
34331557,2021
34448343,2021
34537366,2021
34716461,2021
35055147,2022
35077002,2022
35081709,2022
35092454,2022
35179672,2022
35260553,2022
35416389,2022
35659892,2022
35748623,2022
36470493,2023
36609955,2023
36619880,2023
36801560,2023
36811855,2023
37061584,2023
37150590,2023
37415727,2023
37417977,2023
37425355,2023
37425362,2023
37933250,2023
38135972,2023
38543580,2024
38851749,2024
38861200,2024
38926344,2024
39061103,2024
39177329,2024
39265751,2024
40952,1979
464732,1979
596994,1977
659361,1978
1534543,1992
1575495,1992
1837273,1991
1846142,1991
2158923,1990
2507527,1989
2513188,1989
2855585,1988
3145712,1988
3350008,1988
3389815,1988
3579266,1987
6309745,1983
6312988,1983
6393895,1984
6411684,1983
6608524,1984
6769417,1980
6783002,1981
6807954,1982
6881964,1983
7298577,1981
7748890,1995
7765371,1994
7988711,1994
7988892,1994
8033902,1994
9119076,1997
9294241,1997
9371472,1997
9742948,1998
10403370,1999
10508086,1999
10567365,1999
10913149,2000
11133459,2001
11248193,2001
11542159,1989
11798023,2002
11823254,2002
11889102,2002
12138753,2002
12206908,2002
12555560,1999
12570995,2003
16346452,1984
16347961,1989
16347978,1989
16349209,1994
16535097,1995
16691483,2005
17337553,2007
17416687,2007
17555523,2007
17873051,2007
18083050,2008
18355313,2008
18378592,2008
19167341,2009
19222539,2009
20096574,2010
20616070,2010
20830677,2011
20921383,2010
21131487,2011
21173152,2011
21378039,2011
22423990,2012
22479398,2012
22810230,2012
23054076,2013
23259483,2012
23275504,2013
23315745,2013
23479729,2013
23727797,2013
24045950,2013
24337298,2013
24637370,2014
24657755,2014
24762045,2015
24917861,2014
25381992,2014
25384483,2015
25523312,2014
25733614,2015
25820826,2015
25838297,2015
25934628,2015
26092462,2015
26239230,2015
26350967,2015
26472176,2016
26613566,2016
26692897,2015
26787767,2016
26793417,2016
26971669,2016
27059835,2016
27107467,2016
27208103,2016
27801903,2017
28648471,2017
29593673,2018
29619089,2018
29709841,2018
29721040,2018
29914657,2018
30003650,2018
30126940,2018
30136352,2018
30151056,2018
30221442,2018
30242008,2018
30267586,2019
30465914,2019
30760264,2019
30791207,2019
30949135,2019
31257058,2019
31427571,2019
31573151,2019
31715654,2020
31807888,2020
32082286,2020
32140177,2020
32203116,2020
32423799,2020
32663477,2020
32934112,2020
32959527,2020
33178174,2020
33277268,2021
33283462,2021
33342435,2020
33360948,2021
33567655,2021
33633701,2021
33817956,2021
33894339,2021
33912549,2021
33989450,2021
34313456,2021
34331557,2021
34448343,2021
34537366,2021
34716461,2021
35055147,2022
35077002,2022
35081709,2022
35092454,2022
35179672,2022
35260553,2022
35416389,2022
35659892,2022
35748623,2022
36470493,2023
36609955,2023
36619880,2023
36801560,2023
36811855,2023
37061584,2023
37150590,2023
37415727,2023
37417977,2023
37425355,2023
37425362,2023
37933250,2023
38135972,2023
38543580,2024
38851749,2024
38861200,2024
38926344,2024
39061103,2024
39177329,2024
39265751,2024
