pmid,year
8573505,1996
10348039,1999
11158119,2001
11411717,2001
12361293,2002
12656148,2003
12791927,2003
16014473,2005
24006779,2013
24455862,2014
25000725,2014
25199340,2014
25941712,2015
26036026,2015
26214896,2015
26255340,2015
26638479,2016
26829834,2016
26829836,2016
30141589,2018
30141859,2018
35062865,2022
8573505,1996
10348039,1999
11158119,2001
11411717,2001
12361293,2002
12656148,2003
12791927,2003
16014473,2005
24006779,2013
24455862,2014
25000725,2014
25199340,2014
25941712,2015
26036026,2015
26214896,2015
26255340,2015
26638479,2016
26829834,2016
26829836,2016
30141589,2018
30141859,2018
35062865,2022
