pmid,year
9226892,1997
10090057,1998
10790105,2000
11594622,2001
15575369,2004
15825083,2005
16925612,2006
16982822,2006
17019646,2006
18001399,2007
19149410,2008
20850251,2010
22961895,2012
30284469,2018
31840161,2020
35063575,2022
35666999,2022
35903481,2022
35958910,2022
36564849,2022
38757372,2024
38818297,2024
38862253,2024
9226892,1997
10090057,1998
10790105,2000
11020164,2000
11594622,2001
15575369,2004
15825083,2005
16925612,2006
16982822,2006
17019646,2006
18001399,2007
19149410,2008
20850251,2010
22961895,2012
30284469,2018
31840161,2020
35063575,2022
35666999,2022
35903481,2022
35958910,2022
36564849,2022
38757372,2024
38818297,2024
38862253,2024
