pmid,year
12361269,2002
15560795,2004
16675854,2006
17579454,2007
18161025,2008
20668750,2010
22792246,2012
23999302,2013
24039058,2013
27365353,2016
28680127,2017
28792366,2017
30741627,2019
30771571,2019
33929321,2021
34563541,2021
35348967,2022
35503211,2022
36038640,2022
12361269,2002
15560795,2004
16675854,2006
17579454,2007
18161025,2008
20668750,2010
22792246,2012
23999302,2013
24039058,2013
27365353,2016
28680127,2017
28792366,2017
30741627,2019
30771571,2019
33929321,2021
34563541,2021
35348967,2022
35503211,2022
36038640,2022
