pmid,year
1315498,1992
1366423,1990
1393821,1992
1610196,1992
1718215,1991
1778436,1991
1929375,1991
2167628,1990
3154864,1988
3223769,1988
3994376,1985
6870241,1983
7812454,1994
8434915,1993
9041710,1997
9650250,1998
9674109,1998
10564802,1999
10766746,2000
10902909,2000
11571150,2001
12039725,2002
12721417,2003
14545697,1984
15304688,1999
15304693,1999
15304696,1999
16345718,1981
16346253,1983
16346483,1984
16346714,1985
16346967,1986
16347124,1986
16347492,1987
16347736,1988
16347796,1988
16347909,1989
16348434,1991
16348843,1993
18351297,2008
20012281,2010
23833133,2013
24870309,2014
28589342,2017
30141768,2018
31653344,2020
34189009,2021
35887440,2022
37062846,2023
37091737,2023
37563704,2023
38079064,2024
38675681,2024
1315498,1992
1366423,1990
1393821,1992
1610196,1992
1718215,1991
1778436,1991
1929375,1991
2167628,1990
3154864,1988
3223769,1988
3994376,1985
6870241,1983
7812454,1994
8434915,1993
9041710,1997
9650250,1998
9674109,1998
10564802,1999
10766746,2000
10902909,2000
11571150,2001
12039725,2002
12721417,2003
14545697,1984
15304688,1999
15304693,1999
15304696,1999
16345718,1981
16346253,1983
16346483,1984
16346714,1985
16346967,1986
16347124,1986
16347492,1987
16347736,1988
16347796,1988
16347909,1989
16348434,1991
16348843,1993
18351297,2008
20012281,2010
23833133,2013
24870309,2014
28589342,2017
30141768,2018
31653344,2020
34189009,2021
35887440,2022
37062846,2023
37091737,2023
37563704,2023
38079064,2024
38675681,2024
